phase,svg_z
Decoding,0.512798
Decoding,0.568007
Decoding,-1.3402
Decoding,1.3108
Decoding,-0.37788
Decoding,0.921326
Decoding,-0.028865
Decoding,0.325875
Decoding,-0.552201
Decoding,-0.664706
Decoding,-0.300392
Decoding,-0.621856
Decoding,0.193319
Decoding,1.356742
Decoding,0.440218
Decoding,1.250858
Decoding,2.293972
Decoding,-0.604881
Decoding,1.43743
Decoding,0.295667
Decoding,0.787265
Decoding,-1.09415
Decoding,-0.328323
Decoding,1.514416
Decoding,1.201969
Decoding,-0.67707
Decoding,1.879908
Decoding,0.574801
Decoding,-0.17557
Decoding,0.453086
Decoding,-1.083117
Decoding,1.531511
Decoding,1.307519
Decoding,-0.626981
Decoding,0.757391
Decoding,0.175713
Decoding,-0.193424
Decoding,-1.179478
Decoding,1.143904
Decoding,-0.441702
Decoding,0.337445
Decoding,0.451547
Decoding,-1.592284
Decoding,-0.342168
Decoding,2.163476
Decoding,-0.513065
Decoding,0.440751
Decoding,-1.312373
Decoding,0.22652
Decoding,-1.080984
Decoding,2.131304
Decoding,0.556048
Decoding,-1.00968
Decoding,0.704485
Decoding,0.410965
Decoding,1.821382
Decoding,2.144823
Decoding,0.121787
Decoding,0.869027
Decoding,-0.933665
Decoding,0.735598
Decoding,-0.566398
Decoding,0.625965
Decoding,-0.790705
Decoding,-1.056734
Decoding,-0.443544
Decoding,0.162898
Decoding,1.481503
Decoding,0.454263
Decoding,0.615193
Decoding,-0.693542
Decoding,1.047002
Decoding,-0.149754
Decoding,0.592632
Decoding,1.708447
Decoding,-3.026211
Decoding,1.106095
Decoding,1.222737
Decoding,-0.500207
Decoding,1.495002
Decoding,-0.875025
Decoding,0.668011
Decoding,0.910441
Decoding,1.162983
Decoding,1.119141
Decoding,-0.638396
Decoding,0.870345
Decoding,-1.567377
Decoding,-0.574045
Decoding,1.275439
Decoding,-0.964803
Decoding,0.180968
Decoding,-1.607577
Decoding,-1.11953
Decoding,-0.946279
Decoding,1.473548
Decoding,-1.171168
Decoding,0.130979
Decoding,0.138374
Decoding,0.569521
Decoding,-0.859684
Decoding,-1.535388
Decoding,-0.509967
Decoding,-1.243589
Decoding,-1.897718
Decoding,-0.162217
Decoding,0.787742
Decoding,0.946693
Decoding,-0.341277
Decoding,1.231666
Decoding,-1.435236
Decoding,-0.802464
Decoding,1.061443
Decoding,0.529537
Decoding,-0.637445
Decoding,1.426839
Decoding,-1.552691
Decoding,1.059161
Decoding,0.492761
Decoding,-0.477396
Decoding,-1.583988
Decoding,0.256873
Decoding,1.302111
Decoding,-1.579801
Decoding,1.899733
Decoding,-0.495055
Decoding,1.861125
Decoding,1.864385
Decoding,0.002203
Decoding,1.113651
Decoding,-0.04559
Decoding,0.336585
Decoding,0.418066
Decoding,1.237536
Decoding,1.833406
Decoding,1.815878
Decoding,1.638642
Decoding,0.016569
Decoding,0.243574
Decoding,0.014453
Decoding,-0.840269
Decoding,0.502542
Decoding,0.938811
Decoding,-0.606278
Decoding,0.350905
Decoding,0.682714
Decoding,-0.535756
Decoding,-0.009861
Decoding,0.348071
Decoding,0.59954
Decoding,0.052793
Decoding,0.519075
Decoding,-1.301137
Decoding,-0.599773
Decoding,0.53252
Decoding,1.163075
Decoding,-0.120073
Decoding,1.291503
Decoding,0.848718
Decoding,0.626248
Decoding,-0.030806
Decoding,-1.872796
Decoding,-0.21969
Decoding,1.973877
Decoding,-0.664071
Decoding,-0.762438
Decoding,-0.538672
Decoding,1.368155
Decoding,0.662746
Decoding,0.691203
Decoding,-0.512124
Decoding,1.007445
Decoding,-0.785526
Decoding,-0.571931
Decoding,2.065795
Decoding,0.03136
Decoding,1.540681
Decoding,-0.797716
Decoding,-0.777704
Decoding,-0.033121
Decoding,0.299314
Decoding,-0.052434
Decoding,0.036224
Decoding,0.047367
Decoding,-0.799417
Decoding,1.972712
Decoding,-0.707214
Decoding,-0.954175
Decoding,0.161822
Decoding,-0.460435
Decoding,0.02779
Decoding,0.83794
Decoding,0.257247
Decoding,1.364053
Decoding,-0.456502
Decoding,1.279936
Decoding,-0.976905
Decoding,0.299033
Decoding,-0.662105
Decoding,0.549121
Decoding,-0.039131
Decoding,-1.382037
Decoding,-0.371414
Decoding,-0.783227
Decoding,1.295319
Decoding,0.652715
Decoding,0.825221
Decoding,1.444849
Decoding,-0.436633
Decoding,0.741057
Decoding,-0.967508
Decoding,0.080114
Decoding,3.023976
Decoding,1.50819
Decoding,0.267478
Decoding,-0.030033
