SubjectID,StimID,svg_z_all_enc,svg_z_inter_enc,n_fixations_enc,aoi_prop_enc,mean_salience_enc,low_n_enc,svg_z_all_dec,svg_z_inter_dec,n_fixations_dec,aoi_prop_dec,mean_salience_dec,low_n_dec,n_shared_enc_dec,lcs_enc_dec,tau_enc_dec,n_relational_correct,n_objects_correct,n_relational_incorrect,n_objects_incorrect,n_relational_total,any_relational_correct,empty_response,writing_length,svg_z_all_enc_z,lcs_enc_dec_z,n_fixations_enc_z,aoi_prop_enc_z,mean_salience_enc_z
Encode-Decode_Experiment-3-1,2385851,1.790687,1.323363,38,0.7368,0.288481,False,,,10,1.0,0.229994,False,2.0,0.25,-1.0,3.0,6.0,0.0,0.0,3.0,1.0,0.0,73.0,0.22238150717529426,-1.3075015730756843,0.6805846458553672,-2.079016934480642,1.0856899596163194
Encode-Decode_Experiment-3-1,2379478,2.128851,-1.384199,38,0.9211,0.400744,False,1.239704,0.613962,5,1.0,0.249157,False,2.0,0.666667,1.0,,,,,,,,64.0,0.4496200696095993,0.24711802023985988,0.6805846458553672,0.057472718439176874,2.4466802370786334
Encode-Decode_Experiment-3-1,2347400,1.798775,0.025828,36,0.9167,0.221102,False,,,2,1.0,0.014773,True,1.0,1.0,,3.0,6.0,0.0,0.0,3.0,1.0,0.0,56.0,0.22781646031332398,1.4908114562418715,0.23339421101322813,0.00646591174982607,0.2688387806425412
Encode-Decode_Experiment-3-1,2386442,0.465907,-1.171591,47,0.9787,0.088028,False,,0.473134,8,0.75,0.12274,False,2.0,0.666667,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,31.0,-0.6678407008117135,0.24711802023985988,2.692941602644993,0.725198187827031,-1.3444480563653776
Encode-Decode_Experiment-3-1,2344622,-1.072029,-1.182168,42,0.9048,0.18236,False,-0.459143,,7,1.0,0.104069,False,3.0,0.5,-0.333333,3.0,5.0,0.0,0.0,3.0,1.0,0.0,54.0,-1.7012989215447463,-0.37473056330316556,1.5749655155396451,-0.1314843154327331,-0.20083943327874162
Encode-Decode_Experiment-3-1,2410309,-1.187929,-0.332776,49,0.9796,0.198075,False,,,6,1.0,0.15008,False,2.0,0.5,-1.0,3.0,5.0,0.0,0.0,3.0,1.0,0.0,61.0,-1.7791811011562246,-0.37473056330316556,3.140132037487132,0.7356313982862164,-0.010322858714368008
Encode-Decode_Experiment-3-1,2408717,0.08765,-0.272307,39,0.641,0.223449,False,0.308915,,15,1.0,0.1852,False,3.0,0.75,1.0,3.0,4.0,0.0,0.0,3.0,1.0,0.0,47.0,-0.922020852781506,0.558040446469353,0.9041798632764366,-3.1895742255805803,0.29729200370983916
Encode-Decode_Experiment-3-1,2345035,-0.376141,-1.533435,47,0.766,0.169135,False,0.005465,,7,0.7143,0.250669,False,2.0,0.666667,1.0,3.0,4.0,0.0,0.0,3.0,1.0,0.0,56.0,-1.2336779189090914,0.24711802023985988,2.692941602644993,-1.7405172173604102,-0.36116916274828265
Encode-Decode_Experiment-3-1,2409918,3.767248,2.518439,43,0.7907,0.13324,False,,,11,1.0,0.021559,False,2.0,1.0,1.0,3.0,3.0,0.0,0.0,3.0,1.0,0.0,30.0,1.5505858110151833,1.4908114562418715,1.7985607329607147,-1.4541835525361053,-0.7963325381213778
Encode-Decode_Experiment-3-1,2367132,4.468619,6.897704,34,0.9118,0.090705,False,-1.508302,-0.005077,12,1.0,0.04617,False,3.0,0.666667,-0.333333,2.0,5.0,0.0,0.0,2.0,1.0,0.0,42.0,2.021891265685435,0.24711802023985988,-0.2137962238289109,-0.05033712297240349,-1.3119941670806925
