SubjectID,StimID,svg_z_all_enc,svg_z_inter_enc,n_fixations_enc,aoi_prop_enc,mean_salience_enc,low_n_enc,svg_z_all_dec,svg_z_inter_dec,n_fixations_dec,aoi_prop_dec,mean_salience_dec,low_n_dec,n_shared_enc_dec,lcs_enc_dec,tau_enc_dec,n_relational_correct,n_objects_correct,n_relational_incorrect,n_objects_incorrect,n_relational_total,any_relational_correct,empty_response,writing_length,lcs_enc_dec_z,tau_enc_dec_z,n_fixations_dec_z,aoi_prop_dec_z,mean_salience_dec_z
Encode-Decode_Experiment-4-1,2356125,-0.93833,-1.102075,33,0.9091,0.135133,False,0.463894,1.050543,18,1.0,0.057042,False,3.0,0.5,-0.333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.34282759941566715,-0.8864148966017905,0.9003588903920402,0.610208466671487,-0.956607562625236
Encode-Decode_Experiment-4-1,2347400,0.385679,0.453074,37,0.8919,0.210394,False,,,13,0.6923,0.090873,False,2.0,0.25,-1.0,3.0,8.0,0.0,0.0,3.0,1.0,0.0,103.0,-1.4315436481804529,-1.8205414825145803,-0.13851675236800604,-2.510140794978219,-0.57846693879644
Encode-Decode_Experiment-4-1,2379478,2.276744,0.670838,36,1.0,0.317734,False,-0.849734,-0.865436,6,0.8333,0.446368,False,3.0,0.4,0.333333,,,,,,,,0.0,-0.7783140189215814,0.047710288121820904,-1.5929426522320709,-1.0802764924348047,3.3950219048090684
Encode-Decode_Experiment-4-1,2362704,-0.019947,0.918165,32,1.0,0.13307,False,0.496141,,11,1.0,0.127878,False,4.0,0.75,0.333333,2.0,5.0,0.0,0.0,2.0,1.0,0.0,61.0,0.7458884493491187,0.047710288121820904,-0.5540670094720246,0.610208466671487,-0.16484943459069354
Encode-Decode_Experiment-4-1,2394020,2.079047,-0.551531,31,0.9355,0.241063,False,-0.014115,0.591703,9,1.0,0.215475,False,3.0,0.4,-0.333333,2.0,7.0,1.0,0.0,3.0,1.0,0.0,118.0,-0.7783140189215814,-0.8864148966017905,-0.9696172665760431,0.610208466671487,0.8142521061716568
Encode-Decode_Experiment-4-1,2374670,1.21222,1.730486,33,0.9091,0.273023,False,1.748371,1.759381,15,1.0,0.197371,False,6.0,0.333333,-0.333333,8.0,6.0,0.0,0.0,8.0,1.0,0.0,191.0,-1.0686397502135894,-0.8864148966017905,0.27703350473601246,0.610208466671487,0.6118975244626759
Encode-Decode_Experiment-4-1,2409918,2.474816,3.076993,34,0.9412,0.143787,False,-0.613334,0.567573,13,1.0,0.083134,False,3.0,0.75,1.0,3.0,4.0,2.0,0.0,5.0,1.0,0.0,115.0,0.7458884493491187,0.9818368740346106,-0.13851675236800604,0.610208466671487,-0.664968380900163
Encode-Decode_Experiment-4-1,2383555,-1.468165,-0.929194,34,0.7941,0.162869,False,1.518788,-0.003885,15,1.0,0.131643,False,2.0,0.5,1.0,,,,,,,,115.0,-0.34282759941566715,0.9818368740346106,0.27703350473601246,0.610208466671487,-0.1227667456747459
Encode-Decode_Experiment-4-1,2385851,-0.171115,-0.250697,33,0.9394,0.218636,False,1.133255,,15,1.0,0.122417,False,4.0,0.5,0.0,5.0,6.0,0.0,0.0,5.0,1.0,0.0,83.0,-0.34282759941566715,-0.4193523042399848,0.27703350473601246,0.610208466671487,-0.22588889386559097
Encode-Decode_Experiment-4-1,2369373,1.351349,-0.284908,38,0.9474,0.196659,False,0.390075,,17,1.0,0.158121,False,2.0,0.666667,1.0,2.0,9.0,0.0,0.0,2.0,1.0,0.0,122.0,0.3829845513822551,0.9818368740346106,0.692583761840031,0.610208466671487,0.1731868896815507
