SubjectID,StimID,Phase,svg_z_all,svg_obs_all,svg_null_mean_all,svg_null_std_all,svg_z_inter,svg_obs_inter,svg_null_mean_inter,svg_null_std_inter,n_transitions,n_relational_all,n_relational_inter,low_n,lcs_enc_dec,lcs_len_enc_dec,tau_enc_dec,tau_p_enc_dec,n_shared_enc_dec,n_fixations,n_aoi,aoi_prop,mean_salience,enc_accuracy,enc_rt_ms,enc_response,enc_correct_key,enc_trial_index,q2_accuracy,q2_rt_ms,q2_confidence,q2_present_order,q1_accuracy,q1_rt_ms,q1_confidence,q1_present_order,dec_total_correct,dec_trial_index
Encode-Decode_Experiment-2-1,2409918,encoding,1.596085,0.75,0.506917,0.1523,0.691338,0.5,0.398417,0.146937,12,9,6,False,,,,,,18,18,1.0,0.198529,1.0,5110.0,1.0,1.0,12.0,,,,,,,,,,
Encode-Decode_Experiment-2-1,2371471,encoding,2.644378,0.625,0.19675,0.161947,1.34897,0.25,0.097875,0.112771,8,5,2,False,,,,,,14,14,1.0,0.372995,1.0,5609.0,3.0,3.0,13.0,,,,,,,,,,
Encode-Decode_Experiment-2-1,2367132,encoding,1.867404,0.6,0.2786,0.172111,2.045486,0.5,0.1957,0.148767,10,6,5,False,,,,,,15,14,0.9333,0.11577,1.0,6112.0,3.0,3.0,14.0,,,,,,,,,,
Encode-Decode_Experiment-2-1,2374670,encoding,0.264887,0.454545,0.409727,0.169197,0.34614,0.454545,0.399545,0.158895,11,5,5,False,,,,,,20,19,0.95,0.297143,1.0,3739.0,1.0,1.0,15.0,,,,,,,,,,
Encode-Decode_Experiment-2-1,2387122,encoding,1.571387,0.6,0.388267,0.134743,0.52447,0.2,0.143267,0.108173,15,9,3,False,,,,,,20,19,0.95,0.207941,1.0,5598.0,2.0,2.0,16.0,,,,,,,,,,
Encode-Decode_Experiment-2-1,2370664,encoding,1.583161,0.6,0.3287,0.171366,2.369165,0.4,0.1337,0.112402,10,6,4,False,,,,,,21,21,1.0,0.141475,1.0,3430.0,1.0,1.0,17.0,,,,,,,,,,
Encode-Decode_Experiment-2-1,2344622,encoding,1.501799,0.75,0.3465,0.268678,,0.0,0.0,0.0,4,3,0,False,,,,,,15,15,1.0,0.159389,1.0,3413.0,3.0,3.0,18.0,,,,,,,,,,
Encode-Decode_Experiment-2-1,2379478,encoding,2.583488,0.8,0.3438,0.176583,1.373886,0.3,0.1334,0.121262,10,8,3,False,,,,,,20,18,0.9,0.435683,1.0,3276.0,2.0,2.0,19.0,,,,,,,,,,
Encode-Decode_Experiment-2-1,2411268,encoding,2.245741,0.818182,0.465273,0.157146,2.256809,0.818182,0.466182,0.155972,11,9,9,False,,,,,,20,15,0.75,0.286232,1.0,4456.0,4.0,4.0,20.0,,,,,,,,,,
Encode-Decode_Experiment-2-1,2410309,encoding,0.743374,0.363636,0.250091,0.152743,0.663367,0.181818,0.110182,0.107989,11,4,2,False,,,,,,17,14,0.8235,0.212815,1.0,5533.0,2.0,2.0,21.0,,,,,,,,,,
Encode-Decode_Experiment-2-1,2348899,encoding,2.407658,0.555556,0.194556,0.149938,2.447185,0.555556,0.194111,0.147698,9,5,5,False,,,,,,16,16,1.0,0.14747,1.0,4638.0,4.0,4.0,22.0,,,,,,,,,,
Encode-Decode_Experiment-2-1,2397102,encoding,1.765804,0.545455,0.272182,0.154758,1.513339,0.272727,0.108455,0.10855,11,6,3,False,,,,,,16,15,0.9375,0.111097,1.0,3812.0,3.0,3.0,23.0,,,,,,,,,,
Encode-Decode_Experiment-2-1,2356991,encoding,-0.398728,0.222222,0.292556,0.176394,-0.576539,0.111111,0.199889,0.153984,9,2,1,False,,,,,,15,15,1.0,0.133198,1.0,4635.0,2.0,2.0,24.0,,,,,,,,,,
Encode-Decode_Experiment-2-1,2345035,encoding,-0.456179,0.125,0.17375,0.106866,-0.940733,0.0,0.067562,0.071819,16,2,0,False,,,,,,22,19,0.8636,0.223071,0.0,4899.0,2.0,4.0,25.0,,,,,,,,,,
Encode-Decode_Experiment-2-1,2386442,encoding,1.98837,0.818182,0.465727,0.177258,2.033404,0.818182,0.465364,0.173511,11,9,9,False,,,,,,17,17,1.0,0.117973,1.0,6094.0,1.0,1.0,26.0,,,,,,,,,,
